Unnamed: 0,Player,Age,Team,Pos,Rank,FG,P3
196,Caleb Love,24,POR,SG,3,0.388,0.318
197,Egor Dёmin,19,BRK,PG,7,0.399,0.385
198,DaQuan Jeffries,28,SAC,SG,1,0.579,0.444
199,Will Riley,19,WAS,SF,2,0.439,0.316
200,Khris Middleton,34,DAL,SF,2,0.42,0.36
201,Neemias Queta,26,BOS,C,5,0.653,0.125
202,D'Angelo Russell,29,DAL,PG,1,0.405,0.295
203,Jalen Smith,25,CHI,C,5,0.483,0.373
204,Ziaire Williams,24,BRK,SF,6,0.425,0.343
205,Derrick Jones Jr.,28,LAC,SF,6,0.499,0.359
206,Kevin Huerter,27,DET,SG,6,0.451,0.308
207,Jordan Miller,26,LAC,SF,5,0.531,0.345
208,Isaiah Stewart,24,DET,C,5,0.55,0.333
209,Harrison Barnes,33,SAS,PF,3,0.456,0.388
210,Tristan Da Silva,24,ORL,SF,4,0.45,0.374
211,Ausar Thompson,23,DET,SF,4,0.525,0.25
212,Royce O'Neale,32,PHO,SF,4,0.421,0.408
213,Zach Collins,28,CHI,C,4,0.578,0.429
214,Micah Potter,27,IND,C,4,0.515,0.423
215,Zaccharie Risacher,20,ATL,SF,3,0.455,0.368
216,Jay Huff,27,IND,C,3,0.476,0.319
217,T.J. McConnell,33,IND,PG,2,0.538,0.32
218,Aaron Wiggins,27,OKC,SG,5,0.431,0.356
219,Daniss Jenkins,24,DET,PG,3,0.408,0.374
220,Davion Mitchell,27,MIA,PG,3,0.49,0.395
221,Isaac Okoro,25,CHI,SG,3,0.46,0.33
222,Landry Shamet,28,NYK,SG,4,0.437,0.392
223,Marcus Smart,31,LAL,SG,5,0.395,0.331
224,Jaden Hardy,23,WAS,SG,1,0.424,0.397
225,Isaiah Hartenstein,27,OKC,C,4,0.622,0.0
226,Sam Hauser,28,BOS,PF,4,0.419,0.393
227,Corey Kispert,26,ATL,SF,2,0.467,0.367
228,Taurean Prince,31,MIL,SF,1,0.45,0.436
229,Gui Santos,23,GSW,PF,4,0.5,0.351
230,Quenton Jackson,27,IND,PG,1,0.47,0.356
231,Herbert Jones,27,NOP,SF,3,0.383,0.309
232,Nolan Traoré,19,BRK,PG,5,0.38,0.318
233,Danny Wolf,21,BRK,PF,4,0.405,0.322
234,Payton Sandfort,23,OKC,SF,3,0.5,0.412
235,Jordan Goodwin,27,PHO,PG,3,0.413,0.371
236,Day'Ron Sharpe,24,BRK,C,3,0.601,0.231
237,Jonas Valančiūnas,33,DEN,C,3,0.582,0.308
238,Jordan Clarkson,33,NYK,SG,3,0.451,0.327
239,Cason Wallace,22,OKC,SG,2,0.432,0.351
240,Jaden Ivey,23,CHI,SG,2,0.445,0.373
241,Vít Krejčí,25,POR,PG,2,0.448,0.39
242,Simone Fontecchio,30,MIA,SF,2,0.412,0.375
243,Bones Hyland,25,MIN,PG,3,0.453,0.388
244,Brook Lopez,37,LAC,C,4,0.428,0.36
245,Collin Murray-Boyles,20,TOR,PF,4,0.579,0.34
246,Luke Kennard,29,LAL,SG,4,0.533,0.478
247,Draymond Green,35,GSW,PF,3,0.418,0.326
248,Jared McCain,21,OKC,SG,1,0.425,0.385
249,Al Horford,39,GSW,C,2,0.426,0.361
